Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
na24149_c5_w3_single_3e8_S2_	5009360	4551636	24.60%	8.30%	4.10%	0.70%	612	41%	40%	150	good
na24149_c5_w31_single_3e8_S16_	5579949	5074258	26.00%	9.00%	4.50%	8.70%	697	58%	40%	148	poor
na24149_c5_w33_single_3e8_S17_	3776731	3395334	13.60%	7.10%	3.50%	0.00%	523	100%	41%	148	poor
na24149_c5_w35_single_3e8_S18_	1293520	1180000	15.40%	2.40%	1.20%	2.30%	182	37%	45%	148	poor
na24149_c5_w37_single_3e8_S19_	3649920	3307646	17.00%	6.60%	3.30%	0.00%	492	100%	39%	148	poor
na24149_c5_w39_single_3e8_S20_	1003341	927926	8.60%	2.00%	1.00%	14.10%	154	68%	40%	148	poor
na24149_c5_w41_single_3e8_S21_	265926	244426	5.30%	0.60%	0.30%	20.90%	37	45%	41%	151	poor
na24149_c5_w43_single_3e8_S22_	2313172	2087500	29.40%	3.60%	1.80%	0.00%	248	100%	50%	148	poor
na24149_c5_w45_single_3e8_S23_	2117666	1906668	9.90%	4.10%	2.10%	0.00%	303	100%	40%	147	poor
na24149_c5_w47_single_3e8_S24_	359881	327404	6.20%	0.70%	0.40%	0.80%	54	40%	39%	152	good
na24149_c5_w49_single_3e8_S25_	4273572	3883610	28.70%	6.70%	3.30%	0.70%	482	43%	40%	148	good
na24149_c5_w5_single_3e8_S3_	49422	44814	9.70%	0.10%	0.10%	0.00%	6	100%	49%	148	poor
na24149_c5_w7_single_3e8_S4_	6344985	5791588	27.20%	10.20%	5.10%	23.10%	764	96%	38%	151	poor
na24149_c5_w9_single_3e8_S5_	1580389	1443156	9.90%	3.10%	1.60%	13.70%	214	48%	41%	149	poor
na24149_c6_w1_negctrl_3e8_S26_	1320	1178	3.20%	0.00%	0.00%	50.00%	0	67%	38%	155	empty
na24149_c6_w11_single_3e8_S31_	4291181	3869022	18.60%	7.60%	3.80%	0.00%	563	100%	39%	147	poor
na24149_c6_w13_single_3e8_S32_	1959473	1761000	24.20%	3.20%	1.60%	2.70%	240	27%	38%	148	poor
na24149_c6_w15_single_3e8_S33_	836624	755410	6.50%	1.70%	0.80%	0.00%	122	96%	46%	148	poor
na24149_c6_w17_single_3e8_S34_	61494	55618	4.00%	0.10%	0.10%	1.40%	8	41%	41%	150	poor
na24149_c6_w19_single_3e8_S35_	3789657	3418956	17.40%	6.80%	3.40%	0.00%	500	100%	40%	148	poor
na24149_c6_w21_single_3e8_S36_	2277231	2076386	12.80%	4.40%	2.20%	0.00%	324	100%	39%	149	poor
na24149_c6_w23_single_3e8_S37_	1726708	1552076	8.90%	3.40%	1.70%	0.60%	250	37%	42%	148	good
na24149_c6_w25_single_3e8_S38_	4561055	4117354	19.20%	8.00%	4.00%	30.00%	592	96%	40%	148	poor
na24149_c6_w27_single_3e8_S39_	1026820	929814	11.80%	2.00%	1.00%	0.00%	139	100%	48%	150	poor
na24149_c6_w29_single_3e8_S40_	174067	157422	4.30%	0.40%	0.20%	0.90%	26	45%	41%	148	good
na24149_c6_w3_single_3e8_S27_	4994413	4515876	20.90%	8.60%	4.30%	0.00%	637	96%	39%	148	poor
na24149_c6_w31_single_3e8_S41_	4746859	4330394	23.60%	8.00%	4.00%	12.80%	541	52%	42%	149	poor
na24149_c6_w33_single_3e8_S42_	444612	411152	7.20%	0.90%	0.50%	3.20%	64	33%	40%	152	poor
na24149_c6_w35_single_3e8_S43_	1943682	1762020	10.70%	3.80%	1.90%	0.00%	278	100%	39%	148	poor
na24149_c6_w37_single_3e8_S44_	2722905	2460540	14.50%	5.00%	2.50%	0.60%	371	48%	41%	148	good
na24149_c6_w39_single_3e8_S45_	2058961	1868298	11.00%	4.00%	2.00%	0.00%	295	100%	39%	148	poor
na24149_c6_w41_single_3e8_S46_	568981	518986	6.20%	1.20%	0.60%	0.00%	85	100%	38%	153	poor
na24149_c6_w43_single_3e8_S47_	2343719	2136610	17.10%	4.30%	2.10%	3.20%	308	42%	40%	148	poor
na24149_c6_w45_single_3e8_S48_	1325439	1206652	9.70%	2.60%	1.30%	27.30%	193	96%	40%	151	poor
na24149_c6_w47_single_3e8_S49_	102897	93558	3.90%	0.20%	0.10%	1.90%	15	43%	41%	148	good
na24149_c6_w49_single_3e8_S50_	3879595	3516202	15.30%	7.20%	3.60%	37.80%	534	88%	39%	148	poor
