Library	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	BPR_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Strandseq_quality*
fucci_blm_c14_w1_negctrl_3e8_S226_	1359	1212	1.30%	0.00%	0.00%	0.00%	0	52%	36%	148	empty
fucci_blm_c14_w11_single_3e8_S231_	3146	2774	1.90%	0.00%	0.00%	0.00%	0	74%	39%	146	empty
fucci_blm_c14_w13_single_3e8_S232_	4445871	4079186	32.70%	6.60%	3.30%	0.80%	463	20%	39%	149	good
fucci_blm_c14_w15_single_3e8_S233_	896187	811780	11.80%	1.70%	0.90%	1.60%	118	22%	40%	147	good
fucci_blm_c14_w17_single_3e8_S234_	149306	136118	5.00%	0.30%	0.20%	10.20%	20	21%	38%	151	poor
fucci_blm_c14_w19_single_3e8_S235_	12466	11148	1.20%	0.00%	0.00%	0.00%	2	74%	41%	147	poor
fucci_blm_c14_w21_single_3e8_S236_	1191959	1073978	16.60%	2.10%	1.10%	1.00%	151	23%	39%	147	good
fucci_blm_c14_w23_single_3e8_S237_	1960186	1793674	21.10%	3.40%	1.70%	1.90%	245	33%	39%	151	poor
fucci_blm_c14_w25_single_3e8_S238_	4104046	3724836	33.50%	6.00%	3.00%	7.70%	407	44%	38%	149	poor
fucci_blm_c14_w27_single_3e8_S239_	548	474	6.30%	0.00%	0.00%	10.00%	0	22%	36%	166	empty
fucci_blm_c14_w29_single_3e8_S240_	121237	107868	5.10%	0.20%	0.10%	3.30%	17	13%	41%	91	good
fucci_blm_c14_w3_single_3e8_S227_	2798	2456	1.60%	0.00%	0.00%	0.00%	0	57%	39%	149	empty
fucci_blm_c14_w31_single_3e8_S241_	4179897	3799570	30.70%	6.30%	3.20%	0.70%	434	15%	41%	149	good
fucci_blm_c14_w33_single_3e8_S242_	1758120	1606596	18.60%	3.10%	1.60%	11.80%	191	45%	41%	147	poor
fucci_blm_c14_w35_single_3e8_S243_	500	392	13.30%	0.00%	0.00%	33.30%	0	36%	46%	149	empty
fucci_blm_c14_w37_single_3e8_S244_	431	364	9.30%	0.00%	0.00%	20.00%	0	39%	44%	113	empty
fucci_blm_c14_w39_single_3e8_S245_	1508196	1372684	17.30%	2.70%	1.40%	0.90%	194	17%	40%	148	good
fucci_blm_c14_w41_single_3e8_S246_	261137	235720	6.50%	0.50%	0.30%	10.40%	35	30%	43%	91	poor
fucci_blm_c14_w43_single_3e8_S247_	2569175	2339442	25.90%	4.20%	2.10%	2.00%	314	23%	39%	147	poor
fucci_blm_c14_w45_single_3e8_S248_	700	624	2.60%	0.00%	0.00%	0.00%	0	22%	40%	148	empty
fucci_blm_c14_w47_single_3e8_S249_	74	64	0.00%	0.00%	0.00%	37.50%	0	27%	32%	128	empty
fucci_blm_c14_w49_single_3e8_S250_	3076801	2832082	24.10%	5.20%	2.60%	14.20%	335	49%	39%	151	poor
fucci_blm_c14_w5_single_3e8_S228_	5649046	5130778	31.20%	8.50%	4.20%	1.00%	590	19%	40%	149	good
fucci_blm_c14_w7_single_3e8_S229_	3680166	3384766	30.60%	5.70%	2.80%	1.00%	388	25%	40%	148	good
fucci_blm_c14_w9_single_3e8_S230_	1789325	1616782	21.30%	3.10%	1.50%	2.20%	220	26%	39%	148	poor
fucci_blm_recq5_c16_w1_negctrl_3e8_S276_	1354	1218	4.80%	0.00%	0.00%	0.00%	0	13%	36%	148	empty
fucci_blm_recq5_c16_w11_single_3e8_S281_	2927277	2692572	30.70%	4.50%	2.30%	0.70%	295	22%	37%	156	good
fucci_blm_recq5_c16_w13_single_3e8_S282_	4664922	4249836	33.40%	6.80%	3.40%	11.50%	437	47%	41%	147	poor
fucci_blm_recq5_c16_w15_single_3e8_S283_	939936	866300	11.60%	1.80%	0.90%	12.60%	112	46%	41%	149	poor
fucci_blm_recq5_c16_w17_single_3e8_S284_	130748	118622	4.50%	0.30%	0.10%	1.90%	19	16%	43%	147	good
fucci_blm_recq5_c16_w19_single_3e8_S285_	3534164	3242656	28.20%	5.60%	2.80%	1.30%	408	13%	39%	148	good
fucci_blm_recq5_c16_w21_single_3e8_S286_	1729728	1578424	17.70%	3.10%	1.60%	15.10%	191	42%	48%	149	poor
fucci_blm_recq5_c16_w23_single_3e8_S287_	1414456	1274250	17.50%	2.50%	1.30%	1.80%	177	19%	41%	147	good
fucci_blm_recq5_c16_w25_single_3e8_S288_	1548	1326	3.50%	0.00%	0.00%	0.00%	0	57%	40%	149	empty
fucci_blm_recq5_c16_w27_single_3e8_S289_	1602732	1455124	14.60%	3.00%	1.50%	1.30%	208	21%	40%	148	good
fucci_blm_recq5_c16_w29_single_3e8_S290_	200084	182180	5.50%	0.40%	0.20%	1.40%	29	8%	41%	148	good
fucci_blm_recq5_c16_w3_single_3e8_S277_	3596356	3340180	32.90%	5.40%	2.70%	2.80%	346	39%	39%	152	poor
fucci_blm_recq5_c16_w31_single_3e8_S291_	45782	42288	2.10%	0.10%	0.10%	2.50%	6	8%	39%	154	good
fucci_blm_recq5_c16_w33_single_3e8_S292_	548	430	1.40%	0.00%	0.00%	25.00%	0	30%	45%	152	empty
fucci_blm_recq5_c16_w35_single_3e8_S293_	607	484	1.20%	0.00%	0.00%	40.00%	0	22%	40%	152	empty
fucci_blm_recq5_c16_w37_single_3e8_S294_	1365925	1249576	18.40%	2.50%	1.20%	1.20%	175	19%	38%	149	good
fucci_blm_recq5_c16_w39_single_3e8_S295_	1574126	1412716	12.80%	3.00%	1.50%	6.30%	200	18%	47%	148	good
fucci_blm_recq5_c16_w41_single_3e8_S296_	313280	283706	5.30%	0.60%	0.30%	1.70%	44	15%	44%	147	good
fucci_blm_recq5_c16_w43_single_3e8_S297_	2448946	2254966	23.90%	4.10%	2.10%	0.60%	288	24%	39%	153	good
fucci_blm_recq5_c16_w45_single_3e8_S298_	243743	221212	11.60%	0.50%	0.20%	7.80%	27	19%	43%	152	good
fucci_blm_recq5_c16_w47_single_3e8_S299_	1399	1232	5.40%	0.00%	0.00%	0.00%	0	61%	51%	91	empty
fucci_blm_recq5_c16_w49_single_3e8_S300_	3669	3080	1.40%	0.00%	0.00%	0.00%	0	71%	41%	149	empty
fucci_blm_recq5_c16_w5_single_3e8_S278_	4301306	3898576	33.60%	6.20%	3.10%	3.30%	410	49%	41%	148	poor
fucci_blm_recq5_c16_w7_single_3e8_S279_	3418911	3109768	32.10%	5.10%	2.60%	0.70%	350	17%	41%	148	good
fucci_blm_recq5_c16_w9_single_3e8_S280_	1847145	1685096	24.10%	3.10%	1.60%	1.10%	213	17%	40%	149	good
fucci_recq5_c15_w1_negctrl_3e8_S251_	466	424	23.60%	0.00%	0.00%	50.00%	0	32%	37%	150	empty
fucci_recq5_c15_w11_single_3e8_S256_	1252	1060	2.60%	0.00%	0.00%	40.00%	0	67%	38%	149	empty
fucci_recq5_c15_w13_single_3e8_S257_	2424954	2259486	32.40%	3.70%	1.80%	0.90%	266	21%	39%	169	good
fucci_recq5_c15_w15_single_3e8_S258_	202238	186670	6.40%	0.40%	0.20%	1.70%	29	6%	38%	152	good
fucci_recq5_c15_w17_single_3e8_S259_	89	80	0.00%	0.00%	0.00%	33.30%	0	19%	49%	151	good
fucci_recq5_c15_w19_single_3e8_S260_	2144050	1956090	20.30%	3.80%	1.80%	1.10%	257	22%	39%	156	poor
fucci_recq5_c15_w21_single_3e8_S261_	748823	689546	16.30%	1.40%	0.60%	4.80%	74	38%	37%	169	poor
fucci_recq5_c15_w23_single_3e8_S262_	2095833	1907980	17.40%	3.80%	1.90%	7.60%	280	54%	41%	147	poor
fucci_recq5_c15_w25_single_3e8_S263_	2548744	2313132	23.70%	4.20%	2.10%	4.70%	285	43%	45%	148	poor
fucci_recq5_c15_w27_single_3e8_S264_	756859	703790	14.20%	1.50%	0.70%	5.40%	97	38%	39%	155	poor
fucci_recq5_c15_w29_single_3e8_S265_	109770	98856	4.70%	0.20%	0.10%	9.00%	15	22%	40%	146	poor
fucci_recq5_c15_w3_single_3e8_S252_	4642931	4273450	41.60%	6.00%	3.00%	8.60%	430	45%	39%	153	poor
fucci_recq5_c15_w31_single_3e8_S266_	2470500	2267568	23.40%	4.20%	2.10%	2.10%	297	24%	38%	149	good
fucci_recq5_c15_w33_single_3e8_S267_	361	314	1.90%	0.00%	0.00%	40.00%	0	35%	42%	154	empty
fucci_recq5_c15_w35_single_3e8_S268_	432	348	0.60%	0.00%	0.00%	33.30%	0	27%	37%	149	empty
fucci_recq5_c15_w37_single_3e8_S269_	422	378	1.60%	0.00%	0.00%	25.00%	0	17%	44%	165	empty
fucci_recq5_c15_w39_single_3e8_S270_	1065582	984996	14.10%	2.00%	1.00%	13.50%	139	25%	39%	153	poor
fucci_recq5_c15_w41_single_3e8_S271_	110393	100736	4.80%	0.20%	0.10%	1.10%	15	7%	40%	152	good
fucci_recq5_c15_w43_single_3e8_S272_	1661831	1542250	22.50%	2.90%	1.40%	7.30%	184	37%	38%	155	poor
fucci_recq5_c15_w45_single_3e8_S273_	491	442	3.20%	0.00%	0.00%	14.30%	0	17%	43%	161	empty
fucci_recq5_c15_w47_single_3e8_S274_	79493	72876	4.10%	0.20%	0.10%	2.60%	11	0%	39%	152	good
fucci_recq5_c15_w49_single_3e8_S275_	348231	324300	20.80%	0.60%	0.30%	3.30%	33	18%	38%	171	poor
fucci_recq5_c15_w5_single_3e8_S253_	440486	404838	21.90%	0.80%	0.40%	5.90%	49	25%	39%	155	poor
fucci_recq5_c15_w7_single_3e8_S254_	4152652	3796302	32.20%	6.20%	3.10%	0.80%	437	22%	38%	150	good
fucci_recq5_c15_w9_single_3e8_S255_	308	260	1.50%	0.00%	0.00%	31.60%	0	27%	40%	153	empty
fucci_wt_c13_w1_negctrl_3e8_S201_	794	704	2.30%	0.00%	0.00%	0.00%	0	22%	39%	150	empty
fucci_wt_c13_w11_single_3e8_S206_	2073912	1881934	15.80%	3.80%	1.90%	6.70%	246	40%	43%	148	poor
fucci_wt_c13_w13_single_3e8_S207_	1450	1256	1.00%	0.00%	0.00%	50.00%	0	38%	38%	151	empty
fucci_wt_c13_w15_single_3e8_S208_	167026	153554	5.00%	0.40%	0.20%	20.10%	22	32%	40%	149	poor
fucci_wt_c13_w17_single_3e8_S209_	45229	41004	3.70%	0.10%	0.10%	1.60%	6	4%	40%	148	good
fucci_wt_c13_w19_single_3e8_S210_	3341847	3031516	26.30%	5.40%	2.70%	10.40%	354	43%	41%	147	poor
fucci_wt_c13_w21_single_3e8_S211_	458	388	5.70%	0.00%	0.00%	50.00%	0	17%	41%	147	empty
fucci_wt_c13_w23_single_3e8_S212_	1843800	1674716	22.00%	3.10%	1.60%	1.20%	215	20%	48%	149	good
fucci_wt_c13_w25_single_3e8_S213_	3962860	3579466	23.70%	6.60%	3.30%	1.30%	454	22%	41%	148	good
fucci_wt_c13_w27_single_3e8_S214_	1563587	1413736	17.30%	2.80%	1.40%	1.40%	196	20%	39%	148	good
fucci_wt_c13_w29_single_3e8_S215_	185026	168052	5.10%	0.40%	0.20%	2.10%	26	10%	41%	148	good
fucci_wt_c13_w3_single_3e8_S202_	1473	1282	1.90%	0.00%	0.00%	0.00%	0	39%	40%	147	empty
fucci_wt_c13_w31_single_3e8_S216_	2235	1882	11.30%	0.00%	0.00%	0.00%	0	52%	43%	146	empty
fucci_wt_c13_w33_single_3e8_S217_	1191958	1083564	14.60%	2.20%	1.10%	5.70%	152	36%	41%	148	poor
fucci_wt_c13_w35_single_3e8_S218_	447	362	1.10%	0.00%	0.00%	25.00%	0	32%	49%	148	empty
fucci_wt_c13_w37_single_3e8_S219_	2143	1424	21.10%	0.00%	0.00%	0.00%	0	58%	49%	83	empty
fucci_wt_c13_w39_single_3e8_S220_	1060373	960500	11.90%	2.00%	1.00%	0.80%	138	22%	44%	149	good
fucci_wt_c13_w41_single_3e8_S221_	207	190	3.20%	0.00%	0.00%	50.00%	0	20%	39%	128	empty
fucci_wt_c13_w43_single_3e8_S222_	612	522	1.50%	0.00%	0.00%	20.00%	0	26%	43%	146	empty
fucci_wt_c13_w45_single_3e8_S223_	283	234	1.70%	0.00%	0.00%	28.60%	0	22%	37%	158	empty
fucci_wt_c13_w47_single_3e8_S224_	474081	432408	8.60%	1.00%	0.50%	10.50%	62	22%	39%	148	poor
fucci_wt_c13_w49_single_3e8_S225_	6657	5808	1.40%	0.00%	0.00%	50.00%	1	38%	42%	145	empty
fucci_wt_c13_w5_single_3e8_S203_	5357551	4862992	34.80%	7.60%	3.80%	1.60%	529	29%	40%	148	poor
fucci_wt_c13_w7_single_3e8_S204_	279996	254520	23.90%	0.50%	0.20%	6.40%	31	6%	41%	148	poor
fucci_wt_c13_w9_single_3e8_S205_	229	212	0.90%	0.00%	0.00%	26.70%	0	26%	45%	146	empty
na24143_c10_w1_negctrl_3e8_S126_	4977	4522	1.40%	0.00%	0.00%	0.00%	0	74%	40%	155	empty
na24143_c10_w11_single_3e8_S131_	8140550	7345608	24.10%	13.40%	6.60%	14.60%	992	59%	45%	148	poor
na24143_c10_w13_single_3e8_S132_	7833628	7135832	31.20%	11.80%	5.90%	0.60%	866	43%	40%	148	good
na24143_c10_w15_single_3e8_S133_	691921	633352	7.30%	1.40%	0.70%	1.20%	108	26%	44%	148	poor
na24143_c10_w17_single_3e8_S134_	389166	352314	4.50%	0.80%	0.40%	0.00%	55	100%	48%	148	poor
na24143_c10_w19_single_3e8_S135_	7557751	6938342	33.90%	11.10%	5.50%	0.40%	820	46%	39%	151	good
na24143_c10_w21_single_3e8_S136_	2437946	2221664	22.30%	4.20%	2.10%	2.20%	297	49%	48%	148	poor
na24143_c10_w23_single_3e8_S137_	1584241	1437198	22.80%	2.70%	1.30%	4.30%	180	39%	39%	150	poor
na24143_c10_w25_single_3e8_S138_	7399153	6747786	27.20%	11.80%	5.90%	0.40%	873	38%	39%	150	good
na24143_c10_w27_single_3e8_S139_	2866388	2635126	20.80%	5.00%	2.50%	34.40%	357	96%	38%	167	poor
